genome,group
Staph.bead.766a,21
marc.bacteremia.1298.a,21
Staph.beads.579,21
marc.bacteremia.1297.a,21
marc.bacteremia.1308.a,21
Staph.beads.388,21
marc.bacteremia.666.a,22
Staph.beads.972a,23
Staph.beads.930a,23
Staph.beads.893a,23
Staph.beads.889a,23
Staph.bead.815a,23
Staph.bead.738a,23
Staph.beads.913a,23
Staph.bead.837a,23
marc.bacteremia.2069,24
marc.bacteremia.2089,24
marc.bacteremia.2060,24
marc.bacteremia.2099,24
marc.bacteremia.2059,24
marc.bacteremia.2058,24
Staph.bead.246,24
Staph.beads.933a,24
Staph.beads.887a,24
Staph.beads.984a,24
Sta.aur.bead.59,24
Staph.beads.675,24
marc.bacteremia.206.a,24
marc.bacteremia.217.a,24
